Date,Adj Close
2005-02-25,24.4002
2005-02-28,24.2585
2005-03-01,24.3357
2005-03-02,24.4081
2005-03-03,24.4626
2005-03-04,24.8055
2005-03-07,24.9233
2005-03-08,24.9095
2005-03-09,24.637
2005-03-10,24.6935
2005-03-11,24.6271
2005-03-14,24.7657
2005-03-15,24.6271
2005-03-16,24.3447
2005-03-17,24.3357
2005-03-18,24.2813
2005-03-21,24.3585
2005-03-22,24.2287
2005-03-23,24.0742
2005-03-24,24.1951
2005-03-28,24.1683
2005-03-29,23.771
2005-03-30,24.2287
2005-03-31,24.1604
2005-04-01,23.9295
2005-04-04,23.9057
2005-04-05,24.0296
2005-04-06,24.0376
2005-04-07,24.2357
2005-04-08,23.988
2005-04-11,24.0376
2005-04-12,24.2287
2005-04-13,23.8067
2005-04-14,23.448
2005-04-15,22.9863
2005-04-18,23.0586
2005-04-19,23.1626
2005-04-20,22.9239
2005-04-21,23.5322
2005-04-22,23.2558
2005-04-25,23.5322
2005-04-26,23.229
2005-04-27,23.2647
2005-04-28,23.0091
2005-04-29,23.2805
2005-05-02,23.4063
2005-05-03,23.2389
2005-05-04,23.5114
2005-05-05,23.3895
2005-05-06,23.4876
2005-05-09,23.6462
2005-05-10,23.3687
2005-05-11,23.5322
2005-05-12,23.2805
2005-05-13,23.1626
2005-05-16,23.4876
2005-05-17,23.6462
2005-05-18,24.0038
2005-05-19,24.0376
2005-05-20,24.0296
2005-05-23,24.1951
2005-05-24,24.1296
2005-05-25,23.9216
2005-05-26,24.096
2005-05-27,24.0802
2005-05-31,24.0217
2005-06-01,24.1049
2005-06-02,24.1049
2005-06-03,23.9969
2005-06-06,24.0128
2005-06-07,24.1138
2005-06-08,23.9662
2005-06-09,23.9731
2005-06-10,23.9385
2005-06-13,23.9791
2005-06-14,23.9216
2005-06-15,23.9483
2005-06-16,23.9731
2005-06-17,24.1049
2005-06-20,24.0217
2005-06-21,24.0128
2005-06-22,23.8899
2005-06-23,23.4063
2005-06-24,23.2558
2005-06-27,23.2221
2005-06-28,23.6294
2005-06-29,23.4787
2005-06-30,23.3281
2005-07-01,23.4063
2005-07-05,23.4787
2005-07-06,23.2152
2005-07-07,23.2716
2005-07-08,23.6778
2005-07-11,23.7165
2005-07-12,23.5916
2005-07-13,23.662
2005-07-14,23.8771
2005-07-15,23.8433
2005-07-18,23.7977
2005-07-19,23.9969
2005-07-20,24.2723
2005-07-21,24.1426
2005-07-22,24.2199
2005-07-25,24.0415
2005-07-26,24.1604
2005-07-27,24.2585
2005-07-28,24.3913
2005-07-29,24.2199
2005-08-01,24.204
2005-08-02,24.1683
2005-08-03,24.1218
2005-08-04,23.9662
2005-08-05,23.8345
2005-08-08,23.7799
2005-08-09,23.9563
2005-08-10,23.9385
2005-08-11,24.1366
2005-08-12,24.0376
2005-08-15,24.0802
2005-08-16,23.8067
2005-08-17,23.8701
2005-08-18,23.7631
2005-08-19,23.8611
2005-08-22,23.9057
2005-08-23,23.7977
2005-08-24,23.6056
2005-08-25,23.6462
2005-08-26,23.5203
2005-08-29,23.662
2005-08-30,23.4698
2005-08-31,23.6462
2005-09-01,23.55
2005-09-02,23.6294
2005-09-06,23.9057
2005-09-07,24.0038
2005-09-08,23.8701
2005-09-09,24.0038
2005-09-12,24.1515
2005-09-13,24.0494
2005-09-14,23.8701
2005-09-15,23.8345
2005-09-16,23.9057
2005-09-19,23.5916
2005-09-20,23.4311
2005-09-21,23.3519
2005-09-22,23.448
2005-09-23,23.6204
2005-09-26,23.5916
2005-09-27,23.7165
2005-09-28,23.7244
2005-09-29,23.8345
2005-09-30,23.9483
2005-10-03,23.8067
2005-10-04,23.5916
2005-10-05,23.2994
2005-10-06,23.4539
2005-10-07,23.662
2005-10-10,23.4787
2005-10-11,23.3519
2005-10-12,23.3519
2005-10-13,23.3241
2005-10-14,23.5253
2005-10-17,23.5758
2005-10-18,23.4063
2005-10-19,23.7165
2005-10-20,23.4143
2005-10-21,23.2558
2005-10-24,23.6134
2005-10-25,23.5828
2005-10-26,23.3757
2005-10-27,23.1676
2005-10-28,23.5421
2005-10-31,23.6056
2005-11-01,23.5322
2005-11-02,23.771
2005-11-03,23.8771
2005-11-04,23.8899
2005-11-07,23.9791
2005-11-08,23.8275
2005-11-09,23.8849
2005-11-10,24.1951
2005-11-11,24.2436
