Date,XLE
2005-01-03,19.60230827331543
2005-01-04,19.501434326171875
2005-01-05,19.41737937927246
2005-01-06,19.75360870361328
2005-01-07,19.59670066833496
2005-01-10,19.74239921569824
2005-01-11,19.770427703857425
2005-01-12,20.117856979370117
2005-01-13,20.252351760864254
2005-01-14,20.431678771972656
2005-01-18,20.633420944213867
2005-01-19,20.560556411743164
2005-01-20,20.35322952270508
2005-01-21,20.398054122924805
2005-01-24,20.577375411987305
2005-01-25,20.66143226623535
2005-01-26,20.86318016052246
2005-01-27,21.04810333251953
2005-01-28,20.795917510986328
2005-01-31,21.042495727539062
2005-02-01,21.40114402770996
2005-02-02,21.69815444946289
2005-02-03,21.804624557495117
2005-02-04,21.883079528808594
2005-02-07,21.737375259399418
2005-02-08,21.894285202026367
2005-02-09,21.85504913330078
2005-02-10,22.454668045043945
2005-02-11,22.650800704956055
2005-02-14,22.67881774902344
2005-02-15,22.729263305664062
2005-02-16,23.36811065673828
2005-02-17,23.054290771484375
2005-02-18,23.564233779907227
2005-02-22,23.39612197875977
2005-02-23,23.6931209564209
2005-02-24,24.15824317932129
2005-02-25,24.752256393432617
2005-02-28,24.57293128967285
2005-03-01,24.09660530090332
2005-03-02,24.449647903442383
2005-03-03,24.85311508178711
2005-03-04,25.17254066467285
2005-03-07,24.99882698059082
2005-03-08,24.970792770385746
2005-03-09,24.281518936157227
2005-03-10,23.788389205932617
2005-03-11,23.98452377319336
2005-03-14,24.15824317932129
2005-03-15,23.822017669677734
2005-03-16,23.900468826293945
2005-03-17,24.315147399902344
2005-03-18,24.615392684936523
2005-03-21,24.40173721313477
2005-03-22,24.109363555908203
2005-03-23,23.648326873779297
2005-03-24,23.631446838378903
2005-03-28,23.65956687927246
2005-03-29,23.277233123779297
2005-03-30,23.625831604003903
2005-03-31,24.103742599487305
2005-04-01,24.699735641479492
2005-04-04,24.486082077026367
2005-04-05,24.176834106445312
2005-04-06,24.559175491333008
2005-04-07,24.46357536315918
2005-04-08,24.01940155029297
2005-04-11,24.1993350982666
2005-04-12,23.816993713378903
2005-04-13,23.23224639892578
2005-04-14,23.221006393432617
2005-04-15,22.338279724121097
2005-04-18,22.74309730529785
2005-04-19,23.277233123779297
2005-04-20,22.799320220947266
2005-04-21,23.58647346496582
2005-04-22,23.6370792388916
2005-04-25,23.96880149841309
2005-04-26,23.575225830078125
2005-04-27,22.96799087524414
2005-04-28,22.5069522857666
2005-04-29,22.799320220947266
2005-05-02,23.209754943847656
2005-05-03,22.664384841918945
2005-05-04,22.928640365600582
2005-05-05,23.176021575927734
2005-05-06,23.108558654785156
2005-05-09,23.417800903320312
2005-05-10,23.02421760559082
2005-05-11,23.16478157043457
2005-05-12,22.152732849121097
2005-05-13,21.815385818481445
2005-05-16,21.719802856445312
2005-05-17,22.107744216918945
2005-05-18,22.062767028808594
2005-05-19,22.46196937561035
2005-05-20,22.293292999267575
2005-05-23,22.664384841918945
2005-05-24,22.75996780395508
2005-05-25,23.108558654785156
2005-05-26,23.22663116455078
2005-05-27,23.614585876464844
2005-05-31,23.434663772583008
2005-06-01,23.878841400146484
2005-06-02,23.833860397338867
2005-06-03,23.96880149841309
2005-06-06,24.04189682006836
2005-06-07,23.81137466430664
2005-06-08,23.878841400146484
2005-06-09,24.570425033569336
2005-06-10,24.542301177978516
2005-06-13,24.637880325317383
2005-06-14,24.78969955444336
2005-06-15,25.087690353393555
2005-06-16,25.44190216064453
2005-06-17,25.854198455810547
2005-06-20,25.882400512695312
2005-06-21,25.335308074951172
2005-06-22,25.48195457458496
2005-06-23,25.5045108795166
2005-06-24,25.346586227416992
2005-06-27,25.735763549804688
2005-06-28,25.256349563598633
2005-06-29,25.233781814575195
2005-06-30,25.070213317871097
2005-07-01,25.628582000732425
2005-07-05,26.39564323425293
2005-07-06,25.921873092651367
2005-07-07,26.2546329498291
2005-07-08,26.079795837402344
2005-07-11,26.271564483642575
2005-07-12,26.508445739746097
2005-07-13,26.35616874694824
2005-07-14,25.724477767944336
2005-07-15,25.589109420776367
2005-07-18,25.48195457458496
2005-07-19,26.029033660888672
2005-07-20,26.05724716186523
2005-07-21,25.803436279296875
2005-07-22,26.72840118408203
2005-07-25,26.976572036743164
2005-07-26,26.914531707763672
2005-07-27,27.04990577697754
2005-07-28,27.128860473632812
2005-07-29,26.846864700317383
2005-08-01,27.128860473632812
2005-08-02,27.580060958862305
2005-08-03,27.444704055786133
2005-08-04,27.50110244750977
2005-08-05,27.29242515563965
2005-08-08,27.687244415283203
2005-08-09,27.625179290771484
2005-08-10,28.076377868652344
2005-08-11,28.347103118896484
2005-08-12,28.29636001586914
2005-08-15,28.01998710632324
2005-08-16,27.405227661132812
2005-08-17,26.77353286743164
2005-08-18,26.717132568359375
2005-08-19,27.17397689819336
2005-08-22,27.241653442382812
2005-08-23,27.190893173217773
2005-08-24,27.45034408569336
2005-08-25,27.377029418945312
2005-08-26,27.06682014465332
2005-08-29,27.286779403686523
2005-08-30,27.79438209533691
2005-08-31,28.561439514160156
2005-09-01,29.30593490600586
2005-09-02,28.73627471923828
2005-09-06,28.93932342529297
2005-09-07,28.984458923339844
2005-09-08,29.0239315032959
2005-09-09,29.779712677001953
2005-09-12,29.170576095581055
2005-09-13,28.922409057617188
2005-09-14,29.28337860107422
2005-09-15,29.28337860107422
2005-09-16,29.570724487304688
2005-09-19,30.351261138916016
2005-09-20,30.062793731689453
2005-09-21,30.48700904846191
2005-09-22,30.26076889038086
2005-09-23,29.72907829284668
2005-09-26,30.27208137512207
2005-09-27,30.29470443725586
