,H=5,H=6,H=7,H=8,H=9,H=10,H=11,H=12,H=13,H=14,H=15
2008-05-06,84.59291526508976,84.59641361023213,84.59674631901592,84.59679989268056,84.59682112786369,84.59683160190026,84.59684727941296,84.59685456140656,84.59685542920312,84.59685571265699,84.59685596804843
2008-05-07,84.61762959363264,84.62147479913594,84.62176776254762,84.62185667883514,84.62189539919007,84.62190705053058,84.62192777994359,84.62193802970044,84.6219390575944,84.62193948248616,84.62193989671725
2008-05-08,84.57645799375292,84.58013833033084,84.5804313204337,84.58053060696992,84.58057221117437,84.58058722226738,84.58061066156982,84.58062044663485,84.58062119655818,84.58062161928031,84.58062193632017
2008-05-09,84.51360514547885,84.51739656773684,84.51781551038383,84.5178821500729,84.51792886853161,84.51794086643977,84.5179607473931,84.51797225125581,84.51797373643302,84.51797405025113,84.51797445445699
2008-05-12,84.52153695721101,84.52459458228111,84.52503560846736,84.52507962710521,84.5251191314243,84.52512938949816,84.52514172775581,84.52515133203258,84.52515333528527,84.52515360122928,84.52515401311305
2008-05-13,84.44292455531705,84.44670920620888,84.44710915362505,84.44718975784079,84.44725795374737,84.44727236260849,84.4472906386793,84.44730384557731,84.44730649448212,84.44730690053746,84.4473075436119
2008-05-14,84.44399508542938,84.44769844034698,84.4481111840951,84.44817398168544,84.44822456829377,84.44823578759197,84.44824847642536,84.44825764884763,84.44825978167876,84.44826011111223,84.44826061338222
2008-05-15,84.54202215268775,84.54528602016896,84.54581319618322,84.54586322950044,84.54588843929038,84.54590046898294,84.5459116898297,84.54591919695739,84.54592096500271,84.5459213001261,84.54592164762195
2008-05-16,84.53873198773809,84.54173323148062,84.54219297563819,84.54225160321651,84.5422688686527,84.54228376961747,84.54229909228678,84.54230689978903,84.54230838713202,84.54230883537718,84.54230923078127
2008-05-19,84.51417450141483,84.5169428684614,84.51733298654854,84.5173863545164,84.5174020987526,84.517413037143,84.51742448189124,84.51743037540645,84.517431374319,84.5174317248171,84.51743208724606
2008-05-20,84.44177472271139,84.44407569728861,84.44425613352533,84.44431478806177,84.44432539175573,84.44433516793818,84.4443464780115,84.44435043994848,84.44435071952657,84.44435092361988,84.44435110251007
2008-05-21,84.41452415568536,84.41642152492908,84.41657158537996,84.4166259770524,84.41665054683092,84.41666357165414,84.41666960674934,84.41667165088272,84.41667192632933,84.4166720133287,84.41667212718009
