,0
2008-05-06,77.98752992409106
2008-05-07,78.13562759112332
2008-05-08,77.98242543434935
2008-05-09,77.85564450949138
2008-05-12,77.87295746642738
2008-05-13,77.61236288404515
2008-05-14,77.47502368781242
2008-05-15,77.49917548406118
2008-05-16,77.48849275254021
2008-05-19,77.4451389386335
2008-05-20,77.42573007593249
2008-05-21,77.35615268212982
2008-05-22,77.29994248348109
2008-05-23,77.33384022736153
2008-05-26,77.61347160105319
2008-05-27,77.62694220512375
2008-05-28,77.58096385989747
2008-05-29,77.44942838705299
2008-05-30,77.26661560220145
2008-06-02,77.158391708145
2008-06-03,76.98223400117331
2008-06-04,76.95669870966103
2008-06-05,76.96106718002156
2008-06-06,77.0523727059674
2008-06-09,77.25275981990536
2008-06-10,77.05109741429631
2008-06-11,77.07874049451834
2008-06-12,77.07107578631968
2008-06-13,77.00923699090447
2008-06-16,76.96998641510443
2008-06-17,76.91544157097807
2008-06-18,76.97126741880899
2008-06-19,76.94450376332554
2008-06-20,76.96150488901932
2008-06-23,77.13552050118759
2008-06-24,77.01838588234055
2008-06-25,77.04542785558836
2008-06-26,77.17594172833583
2008-06-27,77.68112670616159
2008-06-30,77.85383263715737
2008-07-01,77.31728206533009
2008-07-02,77.34728722538303
2008-07-03,77.3859905091316
2008-07-04,77.35133436609564
2008-07-07,77.38866624104502
2008-07-08,77.2991017046988
2008-07-09,77.12081075220695
2008-07-10,77.11379765369921
2008-07-11,77.18555313498122
2008-07-14,77.10692564402115
2008-07-15,77.02102796182446
2008-07-16,77.13245570678416
2008-07-17,76.98878560222231
2008-07-18,76.96791258163546
2008-07-21,76.8325550387026
2008-07-22,76.7718057775293
2008-07-23,76.63130598078186
2008-07-24,76.36586372454137
2008-07-25,76.44960016918324
2008-07-28,76.34632565150547
2008-07-29,76.21637520727907
2008-07-30,76.26261868058656
2008-07-31,76.15681720938946
2008-08-01,75.86805997071254
2008-08-04,75.95523723010137
2008-08-05,75.94787767383336
2008-08-06,76.01386373932019
2008-08-07,76.13116223952188
2008-08-08,76.02933883860103
2008-08-11,76.03616213694626
2008-08-12,75.98688604132917
2008-08-13,76.09322154149623
2008-08-14,76.12558853178322
2008-08-15,76.06858693110891
2008-08-18,75.94701640973716
2008-08-19,75.9700986666885
2008-08-20,76.15600754475493
2008-08-21,76.14475364412945
2008-08-22,76.00995473291835
2008-08-25,76.08303321946696
2008-08-26,76.17687535462515
2008-08-27,76.16515651037892
2008-08-28,76.18268899106185
2008-08-29,76.20884316857023
2008-09-01,76.30479237481745
2008-09-02,76.02648735913048
2008-09-03,76.11363086201634
2008-09-04,76.15774414395187
2008-09-05,76.14964202335041
2008-09-08,76.1852522757345
2008-09-09,76.36801475032166
2008-09-10,76.89588476866902
2008-09-11,77.04315050086699
2008-09-12,77.01168829278056
2008-09-15,76.74257872800382
2008-09-16,77.10747307991888
2008-09-17,77.03021173088825
2008-09-18,77.07415209898345
2008-09-19,77.07137284317798
2008-09-22,76.5771451928964
2008-09-23,76.71962446764914
2008-09-24,76.7799566977819
2008-09-25,76.7111826732302
2008-09-26,76.89882975014667
2008-09-29,76.88268000550464
2008-09-30,78.24747943400126
2008-10-01,78.07040750113649
2008-10-02,77.88491335790204
2008-10-03,77.96551012149556
2008-10-06,78.09611335955573
2008-10-07,78.27672593063957
2008-10-08,78.71473295926434
2008-10-09,78.65080575873549
2008-10-10,80.57769811051628
2008-10-13,80.51058179674507
2008-10-14,81.56650860386051
2008-10-15,81.12697421154206
2008-10-16,81.54016681912492
2008-10-17,81.40175975027188
2008-10-20,81.47802309322681
2008-10-21,81.73974404387985
2008-10-22,81.58302120672725
2008-10-23,81.25397236406666
2008-10-24,81.28415530326257
2008-10-27,81.1717842910358
2008-10-28,81.20939727531086
2008-10-29,82.665453181292
2008-10-30,82.42400775946611
2008-10-31,82.72051314855803
2008-11-03,82.51535809280307
2008-11-04,82.4231969323888
2008-11-05,82.55208520981915
2008-11-06,82.31335836119288
2008-11-07,82.25565164910562
2008-11-10,82.29848425159884
2008-11-11,82.2546525504162
2008-11-12,82.06664268270488
2008-11-13,82.04498390476942
2008-11-14,81.94009327411247
2008-11-17,81.78507921448616
2008-11-18,81.88658765696752
2008-11-19,82.09882029196348
2008-11-20,82.35200980144208
2008-11-21,82.59228909503263
2008-11-24,82.95481523195136
2008-11-25,82.92789287469517
2008-11-26,82.87635024005539
2008-11-27,83.0339320219171
2008-11-28,83.08176337255325
2008-12-01,83.05457280245525
2008-12-02,83.42054482586954
2008-12-03,83.84124738168693
2008-12-04,83.76669393372684
2008-12-05,83.80351913834504
2008-12-08,83.9591657100119
2008-12-09,83.89839122447512
2008-12-10,83.71666569476025
2008-12-11,83.73305149463933
2008-12-12,83.90457109266926
2008-12-15,83.89782120223313
2008-12-16,83.81614948430135
2008-12-17,83.80968709953503
2008-12-18,83.7618065240331
2008-12-19,83.72376189641767
2008-12-22,83.77531101589487
2008-12-23,83.73475013369864
2008-12-24,83.69517187984395
2008-12-25,83.67810373424375
2008-12-26,83.6606439276679
2008-12-29,83.58609322683745
2008-12-30,83.6184249644007
2008-12-31,83.74262112546886
2009-01-01,83.62084180623707
2009-01-02,83.6033187339217
2009-01-05,83.57394534262079
2009-01-06,83.58699350479529
2009-01-07,83.5751760985303
2009-01-08,83.50471505653222
2009-01-09,83.5157665084672
2009-01-12,83.49965060033675
2009-01-13,83.49123284726629
2009-01-14,83.47392940758373
2009-01-15,83.56193249762845
2009-01-16,83.65497898767492
2009-01-19,83.59390616854508
2009-01-20,83.57325973604671
