,H=5,H=6,H=7,H=8,H=9,H=10,H=11,H=12,H=13,H=14,H=15
2008-05-06,77.97599342055493,77.98199517507605,77.98659358925221,77.98725852652532,77.98743059688326,77.98752992409106,77.98757049544562,77.98758489657928,77.98759040223952,77.98759286747176,77.98759409298843
2008-05-07,78.12333353254087,78.13034715231714,78.13480127734059,78.13534472721528,78.13552184879843,78.13562759112332,78.1356727523374,78.13568754017338,78.13569331448055,78.13569624063717,78.1356974513654
2008-05-08,77.96939069345677,77.9765491463968,77.98150009306758,77.98212513488943,77.9823183862566,77.98242543434935,77.98246775864723,77.98248235231968,77.9824877681342,77.98249008783141,77.98249111419334
2008-05-09,77.84448690942976,77.85079989056199,77.85484353337253,77.85533789785805,77.8555444833296,77.85564450949138,77.85567878934083,77.8556908219401,77.85569617322187,77.85569817319416,77.85569887198209
2008-05-12,77.86394034781469,77.86844552931021,77.87212785841464,77.87266229866691,77.87286105370225,77.87295746642738,77.87299475459105,77.87300825154752,77.87301414749575,77.87301655455637,77.87301735571887
2008-05-13,77.60060387779856,77.60684996505645,77.61136385892557,77.61190278415789,77.61222011074095,77.61236288404515,77.61239317359025,77.61240705162574,77.61241460606648,77.61241670353203,77.61241731939631
2008-05-14,77.46103856167578,77.4685801357998,77.4738755607744,77.47452909239375,77.47487331000362,77.47502368781242,77.4750573597025,77.47507218072477,77.47507966372446,77.47508160363864,77.47508220768677
2008-05-15,77.48759017229344,77.49394482523161,77.49828818472557,77.49878278697734,77.49905737048239,77.49917548406118,77.49920156521969,77.49921468311794,77.49922091572223,77.49922264193255,77.49922320159754
2008-05-16,77.47395691285023,77.48201143261682,77.48731433317822,77.48797704101929,77.48833531336287,77.48849275254021,77.4885270509286,77.48854383240041,77.48855310974054,77.48855558689979,77.48855629068542
2008-05-19,77.43112270372289,77.43918806732026,77.44395640483091,77.44459205503334,77.44498636122083,77.4451389386335,77.44516587094559,77.44518669194726,77.44519612093069,77.44519779005371,77.44519862424094
2008-05-20,77.4123222323,77.42027034152729,77.42467404777759,77.42522461243594,77.42560841836053,77.42573007593249,77.42574845273985,77.4257667297396,77.42577316199653,77.42577404879749,77.42577463036255
2008-05-21,77.34324085252588,77.35102326122674,77.35514639375512,77.35570075208304,77.35603128790812,77.35615268212982,77.35617566539484,77.35619181249128,77.35619854733736,77.35619969070804,77.35620011406587
2008-05-22,77.28543472994373,77.29482695016982,77.2989037809885,77.29942443685528,77.29982006286353,77.29994248348109,77.29995885406304,77.29998008751498,77.29998599097087,77.29998675982331,77.29998738745503
2008-05-23,77.32101346192663,77.32917283749092,77.33278067320542,77.33333703651631,77.33373318327202,77.33384022736153,77.33385788177839,77.33388039038358,77.33388577517624,77.33388677362922,77.33388751701669
2008-05-26,77.60286705413509,77.60973809194152,77.6126895757165,77.61311148508713,77.61339760653544,77.61347160105319,77.61348211118472,77.61349694460753,77.61350022856026,77.6135009686048,77.61350140968392
2008-05-27,77.61619884436696,77.62305397221337,77.6261763856447,77.62661767533956,77.62686521277988,77.62694220512375,77.626952279524,77.62696581782521,77.62696909306953,77.62696980080325,77.62697017171453
2008-05-28,77.5713830442822,77.57724140469615,77.58017528672175,77.58060476850672,77.58087651365831,77.58096385989747,77.58097541715271,77.58098846722959,77.5809918955359,77.58099253445214,77.58099286934763
2008-05-29,77.43955654997943,77.44549860821044,77.44859996450487,77.44905321979206,77.44933599174531,77.44942838705299,77.44944013493567,77.44945392278551,77.44945737621055,77.44945805748203,77.44945838467356
2008-05-30,77.25511440270589,77.26243821854798,77.2656704835816,77.26617214401654,77.26652050890449,77.26661560220145,77.26663077079867,77.26664835229504,77.26665295480339,77.26665363097797,77.26665402501538
2008-06-02,77.14680399155456,77.15428024541241,77.15741273388473,77.15791483213876,77.15828898808553,77.158391708145,77.15840805375858,77.15842576100597,77.15842998012913,77.15843072100483,77.15843109186304
2008-06-03,76.97111722696519,76.97840121632343,76.98127146895786,76.98178145303125,76.98213404952963,76.98223400117331,76.98225301620806,76.98227188322365,76.9822761984897,76.98227718845531,76.98227771454222
