,0
2008-05-06,84.59683160190026
2008-05-07,84.62190705053058
2008-05-08,84.58058722226738
2008-05-09,84.51794086643977
2008-05-12,84.52512938949816
2008-05-13,84.44727236260849
2008-05-14,84.44823578759197
2008-05-15,84.54590046898294
2008-05-16,84.54228376961747
2008-05-19,84.517413037143
2008-05-20,84.44433516793818
2008-05-21,84.41666357165414
2008-05-22,84.3294850832572
2008-05-23,84.37601739856557
2008-05-26,84.48863181181775
2008-05-27,84.45859526886301
2008-05-28,84.42484231601638
2008-05-29,84.3272011087849
2008-05-30,84.16722696022111
2008-06-02,84.04349234230045
2008-06-03,83.91483440904575
2008-06-04,83.92657737597102
2008-06-05,83.9690699872637
2008-06-06,84.09509666981614
2008-06-09,84.1440238638216
2008-06-10,84.1954522665667
2008-06-11,84.25211524599041
2008-06-12,84.1082514940505
2008-06-13,84.00819327636208
2008-06-16,83.98091277778052
2008-06-17,83.96502227646133
2008-06-18,83.87427723287314
2008-06-19,83.82891376709112
2008-06-20,83.78874529783614
2008-06-23,83.87488303958948
2008-06-24,83.85074983666652
2008-06-25,83.8262781074604
2008-06-26,83.85162931742325
2008-06-27,83.92015980220779
2008-06-30,83.87290107542586
2008-07-01,83.81662712234198
2008-07-02,83.84150402623244
2008-07-03,83.93373628468012
2008-07-04,83.85608073539157
2008-07-07,83.86609074418931
2008-07-08,83.83268930522728
2008-07-09,83.72148608875919
2008-07-10,83.63594900273225
2008-07-11,83.69398466972739
2008-07-14,83.62958569252737
2008-07-15,83.53301985853057
2008-07-16,83.53435605175393
2008-07-17,83.30726604282232
2008-07-18,83.23268318377005
2008-07-21,83.10344200093532
2008-07-22,83.22989537683421
2008-07-23,82.99095482848743
2008-07-24,82.90190749882956
2008-07-25,82.92695723601315
2008-07-28,82.91354353219245
2008-07-29,82.82993630759545
2008-07-30,82.76253060600342
2008-07-31,82.68478732794406
2008-08-01,82.66639891287289
2008-08-04,82.56003112960406
2008-08-05,82.5730248549853
2008-08-06,82.57117137736026
2008-08-07,82.5743279233299
2008-08-08,82.69555795195606
2008-08-11,82.59356407839321
2008-08-12,82.42982669557884
2008-08-13,82.35218474865985
2008-08-14,82.3616946961294
2008-08-15,82.22610946449778
2008-08-18,82.13297800436152
2008-08-19,82.14907046167164
2008-08-20,81.98420290187957
2008-08-21,82.0723369243814
2008-08-22,82.01803546012715
2008-08-25,81.98532652802893
2008-08-26,82.07320378579789
2008-08-27,82.0910609163345
2008-08-28,82.10929497919336
2008-08-29,81.98096191588125
2008-09-01,82.04883611343176
2008-09-02,81.83938925022177
2008-09-03,81.80056272089828
2008-09-04,81.73640660224356
2008-09-05,81.7449338649548
2008-09-08,81.72617388189346
2008-09-09,81.55258373165334
2008-09-10,81.78055336220477
2008-09-11,81.84447059673245
2008-09-12,81.88788812637895
2008-09-15,81.40543011206783
2008-09-16,81.87588180613884
2008-09-17,82.09019712683846
2008-09-18,82.3211192042967
2008-09-19,82.50285812118496
2008-09-22,82.66905267640529
2008-09-23,82.96647143633518
2008-09-24,82.96048703034576
2008-09-25,82.8976824679441
2008-09-26,82.95454154784382
2008-09-29,82.91795243764956
2008-09-30,83.57670787192795
2008-10-01,83.1696340159507
2008-10-02,83.13411432024222
2008-10-03,82.89040525179693
2008-10-06,82.8190718292672
2008-10-07,82.82141180804352
2008-10-08,83.16947849285374
2008-10-09,82.87415120177329
2008-10-10,83.72059417776492
2008-10-13,83.72942038839619
2008-10-14,84.76766932876305
2008-10-15,84.44263754067698
2008-10-16,84.79624642579094
2008-10-17,92.30769230769238
2008-10-20,92.30049784104408
2008-10-21,84.85541196438511
2008-10-22,84.52018539585839
2008-10-23,84.64915285164376
2008-10-24,84.47044433139718
2008-10-27,84.5018773325536
2008-10-28,84.60395384785298
2008-10-29,85.29438192327699
2008-10-30,85.25743435780974
2008-10-31,85.39407971683784
2008-11-03,85.37339521185862
2008-11-04,85.242721440071
2008-11-05,85.06840927219504
2008-11-06,84.94958083249261
2008-11-07,84.89989001591482
2008-11-10,84.96226118813955
2008-11-11,85.09293560038678
2008-11-12,85.06109653325721
