,Constant,Supply shock,Demand shock,Risk shock,Aggregate market,R-squared
IYJ,0.0002987277705271342,-0.005310095695309189,-0.10894882786003003,0.0004909992695092448,0.913898491236298,0.9375612152836659
IYM,-0.00014925748210326944,0.02190931132895313,0.014550504407779212,0.008323901164297898,1.117703773093678,0.9486864131293498
VAW,1.5446542001193415e-05,0.014190454536242477,-0.04664896925758735,0.008219295889931142,1.0563019303527568,0.9594535984087593
VFH,7.279505811906839e-05,-0.03169218739269675,-0.15545782263823182,0.0033852923307753423,1.0138744289123034,0.8724551960791197
VIS,0.0003033642961874988,-0.008571309397018289,-0.12614368577833981,0.004427488592412201,0.9573867711563063,0.9331959068551868
XLB,-3.970849709182785e-05,0.010205670030724404,-0.03458913271098396,0.00777277776183558,1.0389996107964452,0.9427287743026866
XLE,-8.32515871306982e-06,0.04897263527231592,0.6318691599989561,-0.07161391756716579,0.4631200747802292,0.9468017342977659
XLF,3.8298150331137836e-05,-0.040260544904711745,-0.1666747601835063,0.004009413878778882,1.0547259213918183,0.8600772634524494
XLI,0.0003044293356041269,-0.013303728719582327,-0.11405725542871992,0.0029141140769556075,0.9183516471929324,0.9212159246419922
XME,-0.0008357700148619886,0.003859794941080199,0.10610078945066916,0.03207063460267093,1.4656373510872347,0.8288921628994685
