,Constant,Supply shock,Demand shock,Risk shock,Aggregate market,R-squared
IYC,-1.6731778259115315e-05,-0.007932386075339706,0.017399767685732242,-0.008034051261424296,1.0051979318684128,0.8476183172114375
IYH,-4.349977294252825e-06,-0.014306557907844918,0.00012277529027730652,-0.0011691452359710124,1.083090410727018,0.7595842193644642
IYK,-0.00013555772176242965,0.0008315562619225243,0.013321919550656692,-0.0013155636240411565,0.853137359746873,0.7897604274625898
IYW,8.985935396186375e-05,0.01141531264082037,0.0028062978435383166,-0.012632762108976256,1.1657788232494846,0.7975063742783186
XLK,9.65054920218615e-05,0.013482223403135433,-0.0013703134751688328,-0.011949727555886084,1.1185805949295782,0.8309648515854813
XLP,-0.00010280221337626339,0.002581328752492125,-0.030057652264023522,0.015097985942905175,0.880665589105848,0.6429097350587925
XLU,6.012257124985043e-05,0.01737660428273789,-0.03990295010861105,0.03391985314454287,0.8318345633960864,0.2530572400551053
XLV,3.045413834231581e-06,-0.016004067657233494,-0.002388734723413442,-0.0008934130873722336,1.0709581958700871,0.7615758828145371
XLY,9.908859618331704e-06,-0.007444013700689944,0.04006889020101483,-0.01302317621377598,0.9907565311066078,0.8288339598908272
