,Constant,Supply shock,Demand shock,Risk shock,Aggregate market,R-squared
IYC,0.00013677994102922512,-0.0169150134943159,-0.007571510482794595,-0.0013337921132207111,1.1131794445173246,0.9264886196606598
IYH,6.506609492007364e-05,0.00382520539702223,-0.012381667775048821,5.806126024408373e-05,0.9675892291623877,0.8653729960650901
IYK,6.281564845986022e-05,0.00046934037870087437,-0.0009208313563169059,-0.002559272014545385,0.9093923153754736,0.9131926245300032
IYW,-0.0002713959952246049,0.02408388388848179,0.03766596681942899,-0.0028943976081586536,1.170070263866366,0.8245030343732158
XLK,-0.00018713580488545384,0.01864726964816574,0.023651269163629647,-0.001521673909060675,1.1158672318899163,0.867963002262095
XLP,0.0001266828607122348,-0.011725628821354117,-0.050047884047591466,0.0038050029147058276,0.7853254985545732,0.7925491504996379
XLU,-0.00011059295789080606,-0.018373108137601256,0.01866729856700602,0.006056571729481532,0.7762595727909767,0.619341682752856
XLV,6.32105128212601e-05,-0.0018538368237298866,-0.01282912986115725,0.0015956745000103923,0.9617099970194434,0.8503921215727772
XLY,0.00011456970006062256,0.0018418879646287152,0.0037664889728385056,-0.003206174759452092,1.2006064468235487,0.9046416121140717
