,Constant,Supply shock,Demand shock,Risk shock,Aggregate market,R-squared
IYC,-0.000153144850547273,0.012018997986915645,-0.08363485014799871,0.0032995531561745427,1.2592142160538315,0.9176445679440901
IYH,5.656417012027813e-05,-0.005955052482608862,-0.00965478405331312,-0.00021314469880967865,0.8418971245421539,0.8098332513407263
IYK,4.725537860495769e-05,-0.0074432221020025125,0.004432970400176646,0.011714906610570976,0.9373481451044511,0.8941464334144227
IYW,6.846896825672759e-05,0.021551816911673558,0.05747596250333953,-0.023162271725797736,1.0403553099421259,0.8396676153902048
XLK,9.913689406192788e-07,0.008556407378228818,0.04726362753503485,-0.014506527649495327,1.1053587299959367,0.863290382329341
XLP,0.0001788671268109027,-0.02070456026876252,-0.04592194809940188,0.010959676952669561,0.759396977789428,0.7546280919995487
XLU,-3.976869111337288e-05,-0.023908794232897834,0.1469420793560148,-0.0025612730337557076,0.7666048999832732,0.6945908843215242
XLV,2.021686415685242e-05,-0.022841078470040924,-0.03010964467413247,0.000635993776493245,0.8125676862359855,0.7066430627547953
XLY,-0.0001794503352151972,0.038725485279493696,-0.08679341281972143,0.013833086611949185,1.4772569103528135,0.8437967268664582
