,Constant,Supply shock,Demand shock,Risk shock,Aggregate market,R-squared
IYJ,-7.096330827516813e-05,-0.028412899118203275,-0.1359650450425741,0.003702560264095929,0.8701704320715733,0.9286129501565298
IYM,0.00030934244138172386,0.06940898174404415,0.21149874918134431,-0.004700323983053309,0.9042665296102209,0.9198595870545866
VAW,0.00022111976878078817,0.010042300128606926,0.08718244000757606,-0.003506345446192585,0.8858354449355539,0.9319850058916511
VFH,-0.00039296378472458785,-0.12000641497886134,-0.5444874327370302,0.04897414588784921,1.5818994198556882,0.8034912883814386
VIS,-0.00010426205195120869,-0.03094267943006561,-0.14244732517945904,0.007587406483712081,0.9115477600307204,0.9235169262543657
XLB,0.0001921327752815297,0.020397747988825786,0.07074270458886868,-0.0057475039323424525,0.8177022177378378,0.8732751349529414
XLE,7.713291867364363e-05,0.05437327041958233,0.8037734192716223,-0.0905085219196099,0.2720299706679025,0.9471337263823818
XLF,-0.0005396049516526763,-0.1299229603490456,-0.5898625456202038,0.036318856029405475,1.724330792543011,0.7798141564272868
XLI,-0.000117339693487478,-0.038084981262037826,-0.12627629854448547,-0.005143292764281103,0.810977337183828,0.8636094231248249
XME,0.0004254058859724693,0.19314763485715392,0.3658413340743441,0.013023019380415056,1.2212400953636637,0.8484559032452812
