,Constant,Supply shock,Demand shock,Risk shock,Aggregate market,R-squared
IYC,-2.6789139409070283e-05,0.00015869341632730087,-0.02941133217375525,0.003456807051699944,1.161315996216136,0.8992137967519739
IYH,7.245154304305229e-05,-0.0009295075248581036,-0.02654268467525294,-0.006132894373667714,0.9138907244612449,0.799370612219607
IYK,-3.650562433678037e-05,-0.001448360324554964,0.007309263524978647,0.0015542745419385078,0.9035492568503414,0.8720082169021155
IYW,-1.872511650492518e-05,0.016847354844511407,0.030769827561731654,-0.01482584998500357,1.1091517177719845,0.8217942476214404
XLK,-2.6606461992492082e-05,0.009586396674326555,0.028522245024223264,-0.010121036568215523,1.1178023100456778,0.8540851886368952
XLP,5.248544921647347e-05,-0.007225093571312634,-0.0450862677488006,0.008210707314858425,0.7861916809029609,0.7264119939563257
XLU,-2.721893209303397e-05,-0.022623033151694654,0.08886607991165675,0.015924495421703974,0.822716059402607,0.5381348559291873
XLV,7.195693419250799e-05,-0.00794664420356238,-0.0390001476409811,-0.005769289872855116,0.8917260526787896,0.7538094270166003
XLY,-6.104865211836796e-05,0.013580193840815701,-0.015426983783798046,0.007702786469540687,1.293656201670251,0.846603935620139
