Date,Value,Return
2005-02-01,48.15,0.02758359951461792
2005-03-01,54.19,0.11817525133388834
2005-04-01,52.98,-0.022581905734099225
2005-05-01,49.83,-0.06129727155061046
2005-06-01,56.35,0.12296502819247208
2005-07-01,59.0,0.045955203419934094
2005-08-01,64.99,0.09669596800053797
2005-09-01,65.59,0.00918983339938677
2005-10-01,62.26,-0.05210408029218213
2005-11-01,58.32,-0.06537407731305939
2005-12-01,59.41,0.018517474667247378
2006-01-01,65.49,0.09743489686231216
2006-02-01,61.63,-0.060748694255810275
2006-03-01,62.69,0.0170531803117252
2006-04-01,69.44,0.10226112506621755
2006-05-01,70.84,0.01996074256253815
2006-06-01,70.95,0.00155159069141885
2006-07-01,74.41,0.0476149378031181
2006-08-01,73.04,-0.018583105122456714
2006-09-01,63.8,-0.135254045935969
2006-10-01,58.89,-0.08008189339426469
2006-11-01,59.08,0.00322116070669968
2006-12-01,61.96,0.047596557885488916
2007-01-01,54.51,-0.1281048444724784
2007-02-01,59.28,0.08388780991164205
2007-03-01,60.44,0.01937915641670728
2007-04-01,63.98,0.05691939711683304
2007-05-01,63.46,-0.008160748366322329
2007-06-01,67.49,0.06156965260026547
2007-07-01,74.12,0.09370596266184408
2007-08-01,72.36,-0.024031740890064695
2007-09-01,79.92,0.09937247381320377
2007-10-01,85.8,0.07099287215361837
2007-11-01,94.77,0.09943389698818687
2007-12-01,91.69,-0.03303958142029413
2008-01-01,92.97,0.013863538405957219
2008-02-01,95.39,0.0256968906893502
2008-03-01,105.45,0.10026315576766702
2008-04-01,112.58,0.06542717311109687
2008-05-01,125.4,0.10784454816293988
2008-06-01,133.88,0.06543524814430551
2008-07-01,133.37,-0.003816655708822625
2008-08-01,116.67,-0.13377778379853755
2008-09-01,104.11,-0.11390140434910406
2008-10-01,76.61,-0.3067204159579319
2008-11-01,57.31,-0.29025248796508346
2008-12-01,41.12,-0.33198050741673657
2009-01-01,41.71,0.014246287061944378
2009-02-01,39.09,-0.06487422840399042
2009-03-01,47.94,0.20408354920137475
2009-04-01,49.65,0.03504816148494321
2009-05-01,59.03,0.17304739876141648
2009-06-01,69.64,0.16529332564739035
2009-07-01,64.15,-0.08211502383834283
2009-08-01,71.05,0.1021597634814641
2009-09-01,69.41,-0.023352905191617288
2009-10-01,75.72,0.0870113769896299
2009-11-01,77.99,0.02953828700128454
2009-12-01,74.47,-0.046184253619852435
2010-01-01,78.33,0.05053431165659307
2010-02-01,76.39,-0.025078873825878832
2010-03-01,81.2,0.06106344961436394
2010-04-01,84.29,0.03734798684175858
2010-05-01,73.74,-0.13371784120339242
2010-06-01,75.34,0.021465809457896567
2010-07-01,76.32,0.012923824876135966
2010-08-01,76.6,0.0036620496065146203
2010-09-01,75.24,-0.01791407231371593
2010-10-01,81.89,0.08469387884926731
2010-11-01,84.25,0.028411685950374153
2010-12-01,89.15,0.056531775076678274
2011-01-01,89.17,0.00022431583763857726
2011-02-01,88.58,-0.006638561651735985
2011-03-01,102.86,0.1494627418517181
2011-04-01,109.53,0.06282964398888509
2011-05-01,100.9,-0.08206855697609182
2011-06-01,96.26,-0.047077063484599974
2011-07-01,97.3,0.010746125316995897
2011-08-01,86.33,-0.11962182694452803
2011-09-01,85.52,-0.009426895530641518
2011-10-01,86.32,0.009311054233089358
2011-11-01,97.16,0.11829778318409259
2011-12-01,98.56,0.01430639565123793
2012-01-01,100.27,0.017201047750624223
2012-02-01,102.2,0.019065130233770104
2012-03-01,106.16,0.03801571225434793
2012-04-01,103.32,-0.02711642179631238
2012-05-01,94.66,-0.08753944374953775
2012-06-01,82.3,-0.13992041679507775
2012-07-01,87.9,0.0658286970081073
2012-08-01,94.13,0.06847700086799734
2012-09-01,94.51,0.00402884344783588
2012-10-01,89.49,-0.054578761812198034
2012-11-01,86.53,-0.03363571257611928
2012-12-01,87.86,0.015253463928986058
2013-01-01,94.76,0.07560274074295134
2013-02-01,95.31,0.005787357658949802
2013-03-01,92.94,-0.025180613292702228
2013-04-01,92.02,-0.00994817892950978
2013-05-01,94.51,0.026699704279642376
2013-06-01,95.77,0.01324383452656319
2013-07-01,104.67,0.08886306033326465
2013-08-01,106.57,0.017989502366072194
